Name,Score,Price (USD),Liquidity (USD),Criteria 1,Criteria 2,Criteria 3,Criteria 4,Criteria 5
fog / SOL,4,0.0,227707.3623,False,True,True,True,True
ITRUMP / SOL,3,0.0,564425.003,False,True,True,True,False
PIPE / SOL,3,0.0,59466.2792,False,True,True,True,False
POPE267 / SOL,3,0.0,151628.816,False,True,True,False,True
USDT / SOL,3,0.0,1083757.165,False,True,True,True,False
DREAM / SOL,3,0.0,93621.6381,False,True,True,False,True
SOL / USDC 0.01%,2,0.0,4385695.0571,False,True,True,False,False
POPCAT / SOL,2,0.0,2259994.2156,False,True,True,False,False
SOL / USDT 0.01%,2,0.0,1157811.8737,False,True,True,False,False
ELMO / SOL,2,0.0,30565.9807,False,True,False,False,True
EZ / SOL,2,0.0,297997.5925,False,True,True,False,False
MOODENG / SOL,2,0.0,5096199.3366,False,True,True,False,False
TNN / SOL,2,0.0,84052.5147,False,True,False,True,False
267 / SOL,1,0.0,11929.6546,False,True,False,False,False
bull / SOL,1,0.0,2622.9622,False,False,False,False,True
ARDOG / SOL,1,0.0,1325.5864,False,False,False,False,True
moowaan / SOL,1,0.0,9317.2446,False,False,False,False,True
Minimus / SOL,1,0.0,29036.1276,False,True,False,False,False
FEETCOIN / SOL,1,0.0,3713.5564,False,False,False,False,True
RMP / SOL,0,0.0,11.2763,False,False,False,False,False
